S. No,State/UT,Year,Season,Scheme,Notified Districts,Insurance Units,Farmers,Application_Loanee,Application_Non-Loanee,Thousand Hect._Area Insured,Amount In Lac._Farmers Premium,Amount In Lac._State Premium,Amount In Lac._GOI Premium,Sum Insured (In Lac.),Gender (%)_Male,Gender (%)_Female,Gender (%)_Others,Category (%)_SC,Category (%)_ST,Category (%)_OBC,Category (%)_GEN,Type of Farmer (%)_Marginal,Type of Farmer (%)_Small,Type of Farmer (%)_Others,Claim Paid (In Lac.)_Prevented Sowing,Claim Paid (In Lac.)_Localized,Claim Paid (In Lac.)_Mid-term,Claim Paid (In Lac.)_Yield Based,Claim Paid (In Lac.)_Post Harvest,Claim Paid (In Lac.)_WBCIS,Claim Paid (In Lac.)_Total Claim Paid,Claim Paid (In Lac.)_Total Farmer Benefit(Actual)
12,MAHARASHTRA,2022,2,4,32,"1,772","4,03,163","89,642","6,54,074",533.33,"3,291.76","12,170.92","12,170.92","2,02,642.18",81.31,18.68,0.01,3.12,1.54,31.47,63.87,9.57,79,11.43,0,"15,999",0,"8,423","1,877",0,"26,299","1,35,298"
1,CHHATTISGARH,2022,2,2,28,589,"13,422","10,574","33,193",15.51,898.88,"4,245.50","1,941.55","17,977.52",88.74,11.23,0.03,4.33,13.88,66.77,15.02,15.97,57.38,26.65,0,0,0,0,0,"2,473","2,473","11,187"
5,MAHARASHTRA,2022,2,2,30,"1,226","1,42,189","88,967","1,34,935",164.95,"16,858.40","39,704.35","25,637.24","2,21,106.35",82.19,17.77,0.04,1.49,1.57,40.21,56.73,15.77,75.25,8.98,0,0,0,0,0,"94,036","94,036","1,24,071"
4,CHHATTISGARH,2023,1,4,33,"19,341","14,19,859","65,11,323","2,78,700","2,018.41","19,111.57","59,569.27","56,784.73","9,55,627.90",89.07,10.82,0.11,9.04,27.83,58.09,5.04,20.84,55.2,23.96,0,22,0,"18,617",517,0,"19,156","1,09,044"
11,MAHARASHTRA,2023,1,4,34,"2,545","78,12,782","6,84,506","1,61,09,360","10,938.78",167.93,"4,61,317.41","3,11,962.85","52,88,169.45",80.27,19.71,0.02,5.03,4.41,36.1,54.46,7.15,88.66,4.19,"1,400","1,77,346","2,57,747","3,27,313","23,129",0,"7,86,935","59,15,663"
2,CHHATTISGARH,2023,1,2,33,579,"10,255","7,389","16,543",8.08,456.13,436.69,436.58,"9,122.68",86.97,13,0.03,4.81,19.89,62.25,13.05,17.44,59.64,22.92,0,0,0,0,0,614,614,"6,925"
6,MAHARASHTRA,2023,1,2,26,818,"58,747","22,057","51,891",52.93,"2,839.53","2,821.38","2,575.84","55,111.07",83.63,16.35,0.02,1.71,0.63,26.31,71.35,8.46,74.83,16.71,0,0,0,0,0,"8,397","8,397","34,186"
4,CHHATTISGARH,2023,2,4,27,"4,116","2,78,323","10,68,983","2,22,778",384.6,"2,147.34","12,522.86","12,522.86","1,43,159.27",90.28,9.63,0.09,8.14,8.54,76.97,6.35,20.93,57.18,21.89,0,"3,667",0,"32,351","2,897",0,"38,915","1,91,376"
11,MAHARASHTRA,2023,2,4,32,"2,008","35,69,371","80,617","70,05,429","4,885.11",70.86,"1,22,870.15","83,433.10","19,63,937.14",80.06,19.92,0.02,3.85,1.49,30.32,64.34,7.38,88.34,4.28,0,"35,830",0,"19,456","12,456",0,"67,742","5,76,652"
2,CHHATTISGARH,2023,2,2,33,583,"8,327","6,541","13,799",6.7,275.85,258.9,258.9,"5,516.96",90.38,9.6,0.02,5.62,20.78,61.31,12.29,16.53,61.03,22.44,0,0,0,0,0,141,141,"3,206"
5,MAHARASHTRA,2023,2,2,30,"1,250","1,43,990","94,504","1,29,781",165.47,"16,410.92","39,102.62","25,539.39","2,18,219.54",82.65,17.31,0.04,1.46,1.5,37.54,59.5,15.25,75.88,8.87,0,0,0,0,0,"94,399","94,399","1,35,490"
4,CHHATTISGARH,2024,1,4,33,"19,563","14,27,360","65,00,596","2,36,650","1,979.79","19,645.86","61,225.22","58,455.57","9,82,300.12",88.91,10.98,0.11,9.04,28.04,57.82,5.1,20.89,56.41,22.7,0,100,0,"11,621",92,0,"11,813","56,585"
