S. No,State/UT,Year,Season,Scheme,District Name,Insurance Units,Farmers,Application_Loanee,Application_Non-Loanee,Thousand Hect._Area Insured,Amount In Lac._Farmers Premium,Amount In Lac._State Premium,Amount In Lac._GOI Premium,Sum Insured (In Lac.),Gender (%)_Male,Gender (%)_Female,Gender (%)_Others,Category (%)_SC,Category (%)_ST,Category (%)_OBC,Category (%)_GEN,Type of Farmer (%)_Marginal,Type of Farmer (%)_Small,Type of Farmer (%)_Others,Claim Paid (In Lac.)_Prevented Sowing,Claim Paid (In Lac.)_Localized,Claim Paid (In Lac.)_Mid-term,Claim Paid (In Lac.)_Yield Based,Claim Paid (In Lac.)_Post Harvest,Claim Paid (In Lac.)_WBCIS,Claim Paid (In Lac.)_Total Claim Paid,Claim Paid (In Lac.)_Total Farmer Benefit(Actual)
24,ASSAM,2020,1,4,Sivasagar,7,"9,007",491,"8,834",5.21,0.2514,66.85,47.31,"3,092.46",81.6,18.39,0.01,3.47,12.4,30.07,54.06,16.09,64.15,19.76,0,0,0,0,0,0,0,0
25,ASSAM,2020,1,4,Sonitpur,8,"32,820","1,469","33,241",27.5,7.51,384.93,565.48,"16,239.81",78.49,21.48,0.03,3.57,5.91,16.51,74.01,19.71,76.46,3.83,0,0,0,0,0,0,0,0
26,ASSAM,2020,1,4,Tinsukia,4,"17,807",605,"17,177",13.37,0.2066,190.34,285.82,"7,939.35",61.89,38.07,0.04,1.52,11.93,49.66,36.89,3.4,96.44,0.16,0,0,0,83,0,0,83,"4,789"
27,ASSAM,2020,1,4,Udalguri,5,"39,540",424,"42,696",29.27,0.4311,381.95,312.94,"17,380.81",65.4,34.57,0.03,0.74,5.35,3.08,90.83,0.55,98.6,0.85,0,0,0,0,0,0,0,9
1,CHHATTISGARH,2020,1,4,Balod,690,"92,512","3,49,351","6,013",132.17,"1,062.29","2,692.44","2,692.44","53,114.28",89.18,10.76,0.06,4.45,36.29,56.59,2.67,33.79,39.37,26.84,0,0,0,"3,286",0,0,"3,286","32,082"
2,CHHATTISGARH,2020,1,4,Baloda Bazar,960,"1,07,332","6,24,688","10,708",142.05,"1,205.39","4,361.58","4,361.58","60,269.53",91.33,8.58,0.09,19.22,11.18,66.42,3.18,17.2,65.21,17.59,0,0,0,"1,338",0,0,"1,338","20,373"
3,CHHATTISGARH,2020,1,4,Balrampur,582,"15,113","18,280","2,274",27.84,149.76,227.24,227.24,"7,488.25",90.58,9.3,0.12,3.38,48.08,29.92,18.62,19.82,53.24,26.94,0,0,0,6,0,0,6,214
4,CHHATTISGARH,2020,1,4,Bastar,561,"29,855","77,300","10,551",50.14,381.17,"1,237.54","1,237.54","19,058.72",84.17,15.7,0.13,1.45,65.74,19.51,13.3,22,49.46,28.54,0,0,0,717,0,0,717,"7,129"
5,CHHATTISGARH,2020,1,4,Bemetara,707,"94,094","4,08,550","14,924",155.33,"1,247.55","4,180.23","4,180.23","62,377.60",91.11,8.81,0.08,11.16,3.51,76.62,8.71,19.43,52.8,27.77,0,33,0,"2,835",0,0,"2,868","11,530"
6,CHHATTISGARH,2020,1,4,Bijapur,302,"8,577","13,149","1,107",21.58,141.85,729.71,729.71,"7,092.29",84.39,15.54,0.07,5.97,78.61,7.82,7.6,25.64,47.92,26.44,0,0,0,194,0,0,194,"1,797"
7,CHHATTISGARH,2020,1,4,Bilaspur,686,"49,658","2,00,558","10,207",75.39,602.04,"2,205.12","2,205.12","30,102.24",90.3,9.6,0.1,17.98,16.3,56.37,9.35,19.48,52.02,28.5,0,0,0,208,0,0,208,"4,614"
8,CHHATTISGARH,2020,1,4,Dakshin Bastar Dantewada,186,"7,246","5,078","8,888",13.27,84.91,335.99,335.99,"4,245.31",87.86,12.12,0.02,2.24,77.12,16.02,4.62,32.18,50.21,17.61,0,0,0,804,0,0,804,"5,161"
9,CHHATTISGARH,2020,1,4,Dhamtari,623,"65,356","2,49,136","11,461",79.09,734.29,"2,126.37","2,126.37","36,714.65",89.14,10.79,0.07,4.15,27.36,66.49,2,24.04,56.63,19.33,0,0,0,"4,211",0,0,"4,211","42,893"
10,CHHATTISGARH,2020,1,4,Durg,426,"72,915","2,71,980","9,243",104.2,894.24,"3,326.01","3,326.01","44,711.91",87.98,11.94,0.08,8.99,3.46,80.66,6.89,26.65,46.2,27.15,0,8,0,"1,660",0,0,"1,668","19,366"
11,CHHATTISGARH,2020,1,4,Gariyaband,663,"33,196","1,15,309","5,639",53.86,421.15,"1,697.97","1,697.97","21,057.31",89.51,10.37,0.12,4.37,42.21,49.84,3.58,17.51,61.2,21.29,0,0,0,805,0,0,805,"7,872"
12,CHHATTISGARH,2020,1,4,Gorella-Pendra-Marwahi,222,"8,935","26,301","4,515",16.78,117.51,346.17,346.17,"5,875.62",87.37,12.55,0.08,3.65,50.76,32.8,12.79,12.64,48.64,38.72,0,0,0,304,0,0,304,"2,527"
13,CHHATTISGARH,2020,1,4,Janjgir - Champa,904,"50,897","1,58,049","1,519",81.69,717.31,954.73,954.73,"35,865.53",91.79,8.06,0.15,19.99,10.11,64,5.9,17.82,52.03,30.15,0,0,0,"1,484",0,0,"1,484","22,769"
14,CHHATTISGARH,2020,1,4,Jashpur,665,"10,566","31,778","2,788",19.19,110.63,248.4,248.4,"5,531.53",92.63,6.99,0.38,5.06,58.61,31.12,5.21,17.75,37.48,44.77,0,0,0,26,0,0,26,664
15,CHHATTISGARH,2020,1,4,Kabeerdham,911,"69,368","97,821","9,806",102.31,825.22,"2,925.95","2,925.95","41,261.25",90.68,9.24,0.08,9.19,12.35,71.77,6.69,24.55,54.61,20.84,0,37,0,"2,336",0,0,"2,373","9,580"
16,CHHATTISGARH,2020,1,4,Kondagaon,505,"25,644","50,711","2,267",41.96,302.1,"1,422.72","1,422.72","15,105.18",87.82,11.98,0.2,1.6,72.77,24.03,1.6,14.52,61.35,24.13,0,0,0,694,0,0,694,"8,167"
17,CHHATTISGARH,2020,1,4,Korba,693,"22,301","66,141","11,097",37.77,254.88,900.69,900.69,"12,744.01",90.49,9.3,0.21,6.4,61.33,29.2,3.07,12.14,47.02,40.84,0,0,0,"1,448",0,0,"1,448","7,514"
18,CHHATTISGARH,2020,1,4,Koriya,559,"15,896","22,092","2,022",30.64,168.7,793.91,793.91,"8,435.14",88.5,11.41,0.09,4.46,52.95,35.55,7.04,16.31,54.11,29.58,0,0,0,117,0,0,117,"2,087"
19,CHHATTISGARH,2020,1,4,Mahasamund,"1,124","88,679","4,24,168","32,308",161.16,"1,296.32","3,019.61","3,019.61","64,816.23",89.16,10.7,0.14,6.94,23.66,65.62,3.78,18.69,47.19,34.12,0,0,0,"8,239",0,0,"8,239","41,278"
20,CHHATTISGARH,2020,1,4,Mungeli,665,"29,881","65,459","2,240",54.4,438.84,"1,238.24","1,238.24","21,942.12",91.87,8.04,0.09,23.35,6.61,58.5,11.54,18.81,54.35,26.84,0,0,0,414,0,0,414,"4,772"
21,CHHATTISGARH,2020,1,4,Narayanpur,146,"3,720","3,439",564,6.06,43.61,181.32,181.32,"2,180.58",85.96,13.96,0.08,1.4,74.54,17.24,6.82,20.61,60.25,19.14,0,0,0,45,0,0,45,546
22,CHHATTISGARH,2020,1,4,Raigarh,"1,403","42,260","1,20,744","12,216",78.96,546.87,"1,140.75","1,140.75","27,343.58",92.54,7.24,0.22,5.56,23.84,67.34,3.26,23.09,37.9,39.01,0,0,0,403,0,0,403,"4,911"
23,CHHATTISGARH,2020,1,4,Raipur,506,"61,183","2,40,737","2,637",79.47,745.67,"2,394.80","2,394.80","37,283.38",89.09,10.84,0.07,13.71,3.2,78.93,4.16,23.17,55.31,21.52,0,0,0,428,0,0,428,"7,042"
24,CHHATTISGARH,2020,1,4,Rajnandgaon,"1,618","1,87,213","2,48,744","65,701",294.35,"2,241.43","8,669.60","8,669.60","1,12,071.35",87.04,12.9,0.06,6.94,21.74,66.47,4.85,21.64,59.68,18.68,0,10,0,"17,678",0,0,"17,688","1,02,786"
25,CHHATTISGARH,2020,1,4,Sukma,213,"7,289","20,203","2,857",19.84,119.05,576.49,576.49,"5,952.32",88.77,11.02,0.21,0.33,79.49,9.6,10.58,25.15,27.17,47.68,0,9,0,"2,133",0,0,"2,142","5,563"
26,CHHATTISGARH,2020,1,4,Surajpur,529,"25,203","36,158","3,065",45.18,243.79,518.74,518.74,"12,189.71",91.18,8.68,0.14,3.1,45.05,45.27,6.58,17.67,57.63,24.7,0,0,0,190,0,0,190,"3,363"
27,CHHATTISGARH,2020,1,4,Surguja,572,"26,475","33,915","4,973",35.97,195.85,401.21,401.21,"9,792.42",90.52,9.36,0.12,2.26,68.01,24.26,5.47,17.75,51.38,30.87,0,0,0,129,0,0,129,"2,281"
28,CHHATTISGARH,2020,1,4,Uttar Bastar Kanker,970,"61,658","1,83,890","16,267",116.34,890.52,"4,055.44","4,055.44","44,526.12",80.15,19.77,0.08,2.41,62.45,28.94,6.2,21.04,50.41,28.55,0,0,0,"8,057",0,0,"8,057","41,815"
1,GOA,2020,1,4,North Goa,8,23,67,0,0.01,0.1118,0,0,5.59,68.66,31.34,0,0,0,29.85,70.15,61.19,16.42,22.39,0,0,0,0,0,0,0,0
2,GOA,2020,1,4,South Goa,4,10,17,0,0,0.2708,0.1089,0.1089,5.58,94.12,5.88,0,0,52.94,0,47.06,5.88,94.12,0,0,0,0,0,0,0,0,0
1,HARYANA,2020,1,4,Ambala,487,"14,771","17,202","1,392",21.7,360.41,300.02,290.11,"18,019.65",92.53,7.44,0.03,1.62,0.06,12.72,85.6,16.37,66.19,17.44,0,0,0,32,0,0,32,577
2,HARYANA,2020,1,4,Bhiwani,278,"62,861","88,823","11,093",110.79,"3,439.56","4,928.32","4,928.32","79,434.69",91.76,8.21,0.03,1.49,0.03,6.54,91.94,19.78,56.75,23.47,0,38,0,"26,656",0,0,"26,694","52,095"
3,HARYANA,2020,1,4,Charkhi Dadri,173,"22,234","30,875","5,478",33.46,"1,048.80","1,200.39","1,200.39","23,760.47",94.07,5.86,0.07,0.4,0.01,5.94,93.65,15.95,65.78,18.27,0,372,0,"4,405",0,0,"4,777","17,970"
4,HARYANA,2020,1,4,Faridabad,147,"3,459","3,450",804,3.58,64.07,73.41,73.41,"2,842.97",93.56,6.39,0.05,1.13,0,12.06,86.81,50.26,33.22,16.52,0,4,0,60,0,0,64,427
5,HARYANA,2020,1,4,Fatehabad,248,"48,686","57,818","12,966",86.02,"2,504.19","2,312.09","2,312.09","70,991.56",90.71,9.26,0.03,0.88,0.05,6.32,92.75,14.49,62.46,23.05,0,508,0,"4,471",0,0,"4,979","16,275"
6,HARYANA,2020,1,4,Gurgaon,230,"8,467","9,923",575,9.89,172.6,252.1,252.1,"5,793.35",94.37,5.56,0.07,0.48,0.1,42.29,57.13,30.42,56.95,12.63,0,59,0,110,0,0,169,"1,453"
7,HARYANA,2020,1,4,Hisar,280,"84,065","99,715","11,609",135.72,"4,672.49","5,248.70","5,248.70","1,09,713.23",91.48,8.49,0.03,0.4,0.04,5.28,94.28,16.65,59.53,23.82,0,175,0,"22,531",0,0,"22,706","53,181"
8,HARYANA,2020,1,4,Jhajjar,265,"19,599","20,281","9,343",24.59,436.14,868.52,868.52,"16,916.74",95.09,4.9,0.01,0.14,0.01,5.87,93.98,17.42,69.16,13.42,0,414,0,84,0,0,498,"2,319"
9,HARYANA,2020,1,4,Jind,311,"47,890","53,119","14,697",79.59,"2,098.46","2,722.11","2,722.11","65,483.71",95.07,4.92,0.01,0.28,0.04,4.9,94.78,10.83,66.79,22.38,0,276,0,"1,905",0,0,"2,181","8,266"
10,HARYANA,2020,1,4,Kaithal,280,"38,761","43,366","4,778",61.89,"1,083.59","2,195.91","2,195.91","51,732.11",92.38,7.61,0.01,0.23,0.01,5.62,94.14,28.6,46.28,25.12,0,10,0,612,0,0,622,"3,797"
11,HARYANA,2020,1,4,Karnal,430,"25,022","27,944","1,339",40.87,680.27,515.5,515.5,"33,993.56",91.62,8.36,0.02,0.62,0.03,7.59,91.76,21.94,58.72,19.34,0,0,0,104,0,0,104,480
12,HARYANA,2020,1,4,Kurukshetra,415,"24,836","28,437",452,37.87,634.24,"1,101.98","1,101.98","31,704.18",90.31,9.67,0.02,0.49,0.18,10.98,88.35,22.69,58.64,18.67,0,2,0,475,0,0,477,"1,765"
13,HARYANA,2020,1,4,Mahendragarh,376,"33,000","47,754","1,127",36.95,704.96,888.42,888.42,"19,907.59",93.16,6.81,0.03,0.3,0.03,50.69,48.98,23.01,71.38,5.61,0,46,0,"2,329",0,0,"2,375","18,148"
14,HARYANA,2020,1,4,Mewat,369,"5,567","6,216","1,257",6.82,115.2,131.22,131.22,"4,441.61",92.09,7.85,0.06,0.83,0.07,57.19,41.91,27.37,56.1,16.53,0,54,0,888,0,0,942,"2,676"
15,HARYANA,2020,1,4,Palwal,284,"14,660","16,433",600,16.49,379.2,426.43,426.43,"13,500.73",92.87,7.12,0.01,0.77,0.04,12.63,86.56,28.62,56.67,14.71,0,193,0,4,0,0,197,739
16,HARYANA,2020,1,4,Palwal,3,54,59,0,0.08,1.74,2.02,2.02,63.97,89.83,10.17,0,0,0,27.12,72.88,27.12,40.68,32.2,0,0,0,0,0,0,0,0
17,HARYANA,2020,1,4,Panchkula,190,"3,669","3,575",877,3.77,58.88,208.09,208.09,"2,937.01",93.62,6.31,0.07,0.88,0.11,23.61,75.4,39.17,43.42,17.41,0,1,0,117,0,0,118,"1,306"
18,HARYANA,2020,1,4,Panipat,195,"11,687","12,613",906,15.51,258.61,261.27,261.27,"12,881.03",92.65,7.25,0.1,0.56,0.09,12.28,87.07,21.58,57.73,20.69,0,1,0,5,0,0,6,26
19,HARYANA,2020,1,4,Rewari,408,"30,126","45,003","3,387",33.37,633.29,939.84,939.84,"18,267.35",93.65,6.29,0.06,0.43,0.02,57.83,41.72,29.46,60.49,10.05,0,121,0,"2,239",0,0,"2,360","14,903"
20,HARYANA,2020,1,4,Rohtak,149,"17,449","18,566","5,118",22.57,424.68,887.12,887.12,"17,349.13",93.75,6.22,0.03,0.05,0.01,2.32,97.62,19.44,66.45,14.11,0,174,0,384,5,0,563,"2,712"
21,HARYANA,2020,1,4,Sirsa,334,"81,316","1,10,618","9,191",168.67,"5,793.04","8,800.33","8,800.33","1,37,499.28",88.04,11.94,0.02,0.7,0.11,8.84,90.35,18.08,46.69,35.23,0,65,0,"30,122",0,0,"30,187","61,822"
22,HARYANA,2020,1,4,Sonipat,340,"31,953","32,290","6,024",41.98,734.14,572.24,572.24,"34,524.32",93.99,6.01,0,0.09,0.01,3.27,96.63,21.9,63.58,14.52,0,83,0,886,0,0,969,"1,553"
23,HARYANA,2020,1,4,Yamunanagar,626,"12,419","13,557",838,14.24,236.04,239.89,239.89,"11,799.86",92.05,7.93,0.02,1.75,0.06,20.79,77.4,20.06,67.02,12.92,0,4,0,15,0,0,19,362
1,HIMACHAL PRADESH,2020,1,4,Bilaspur,7,"10,960","11,264",15,4.05,24.33,48.65,48.65,"1,216.43",93.07,6.9,0.03,6.46,1.48,2.86,89.2,51.56,47.61,0.83,0,0,0,0,0,0,0,1
2,HIMACHAL PRADESH,2020,1,4,Chamba,12,"4,249","4,270",44,1,6,19.22,19.22,299.81,94.48,5.47,0.05,9.94,25.68,2.04,62.34,31.11,63.05,5.84,0,0,0,80,0,0,80,"2,940"
3,HIMACHAL PRADESH,2020,1,4,Hamirpur,10,"20,666","21,588",175,7.1,42.61,75.23,75.23,"2,130.43",90.36,9.63,0.01,4.34,0.4,3.33,91.93,38.45,51.03,10.52,0,0,0,147,0,0,147,"8,647"
4,HIMACHAL PRADESH,2020,1,4,Kangra,34,"32,435","33,369",141,12.08,72.5,78.46,78.46,"3,625.18",92.92,7.05,0.03,4.92,2.04,12.89,80.15,25.46,67.79,6.75,0,0,0,197,0,0,197,"10,298"
5,HIMACHAL PRADESH,2020,1,4,Kullu,3,9,3,8,0,0.0266,0.0424,0.0424,1.33,81.82,18.18,0,0,0,0,100,18.18,72.73,9.09,0,0,0,0,0,0,0,5
6,HIMACHAL PRADESH,2020,1,4,Mandi,18,"1,544","1,613",0,0.49,2.94,3.91,3.91,146.92,92.31,7.63,0.06,10.85,1.86,4.22,83.07,44.2,54.74,1.06,0,0,0,2,0,0,2,141
7,HIMACHAL PRADESH,2020,1,4,Shimla,7,89,90,0,0.03,0.1661,0.5181,0.5181,8.3,97.78,2.22,0,20,0,0,80,76.67,21.11,2.22,0,0,0,0,0,0,0,0
8,HIMACHAL PRADESH,2020,1,4,Sirmaur,10,921,"1,048",0,0.57,3.45,2.87,2.87,172.26,95.32,4.58,0.1,2.29,0.67,25.95,71.09,46.76,51.72,1.52,0,0,0,4,0,0,4,788
9,HIMACHAL PRADESH,2020,1,4,Solan,11,858,866,0,0.68,4.09,3.06,3.06,204.27,95.38,4.62,0,8.2,6.12,10.28,75.4,35.8,55.31,8.89,0,0,0,70,0,0,70,0
10,HIMACHAL PRADESH,2020,1,4,Una,12,"13,803","14,173",0,5.94,35.64,74.45,74.45,"1,781.83",91.19,8.81,0,3.92,1.47,9.67,84.94,49.42,46.69,3.89,0,0,0,190,0,0,190,"8,179"
1,KARNATAKA,2020,1,4,Bagalkot,505,"28,984","18,480","10,504",0.03,0.003,0.0138,0.0116,0.1224,80.81,19.19,0,4.04,3.03,24.24,68.69,8.16,63.27,28.57,0,0,0,0,0,0,0,0
2,KARNATAKA,2020,1,4,Ballari,777,"18,201","10,288","7,913",0.02,0.0023,0.0078,0.0078,0.0939,76.77,23.23,0,6.19,9.28,20.62,63.91,13.27,56.12,30.61,0,0,0,0,0,0,0,0
3,KARNATAKA,2020,1,4,Belagavi,"1,000","30,179","2,394","27,785",0.02,0.0024,0.0088,0.0061,0.1046,90.91,9.09,0,1.01,1.01,35.35,62.63,8.08,57.58,34.34,0,0,0,0,0,0,0,0
4,KARNATAKA,2020,1,4,Bengaluru Rural,193,"1,104",223,881,0,0.0001,0.0002,0.0002,0.0028,82.83,17.17,0,10.1,3.03,22.22,64.65,35.35,51.52,13.13,0,0,0,0,0,0,0,0
5,KARNATAKA,2020,1,4,Bengaluru Urban,127,195,71,124,0,0,0,0,0.0004,89.9,10.1,0,12.12,3.03,24.24,60.61,35.71,51.02,13.27,0,0,0,0,0,0,0,0
6,KARNATAKA,2020,1,4,Bidar,560,"2,09,348","1,63,620","45,728",0.14,0.0098,0.0591,0.0591,0.4916,73.74,26.26,0,5.1,7.14,9.18,78.58,9.09,69.7,21.21,0,0,0,0,0,0,0,0
7,KARNATAKA,2020,1,4,ChamarajNagar,357,"15,271",829,"14,442",0.01,0.0008,0.0034,0.0034,0.032,78.79,21.21,0,6.19,3.09,18.56,72.16,38.38,39.39,22.23,0,0,0,0,0,0,0,0
8,KARNATAKA,2020,1,4,Chikkaballapur,353,"27,188","1,548","25,640",0.01,0.0014,0.0094,0.0089,0.0673,77.78,22.22,0,7.14,7.14,27.55,58.17,35.35,51.52,13.13,0,0,0,0,0,0,0,0
9,KARNATAKA,2020,1,4,Chikkamagaluru,357,"3,806","2,435","1,371",0,0.0004,0.0005,0.0005,0.0112,82.83,17.17,0,2.04,0,32.65,65.31,38.78,45.92,15.3,0,0,0,0,0,0,0,0
10,KARNATAKA,2020,1,4,Chitradurga,536,"97,360","12,496","84,864",0.13,0.0122,0.0697,0.0694,0.5818,72.73,27.27,0,7.14,14.29,22.45,56.12,15.15,55.56,29.29,0,0,0,0,0,0,0,0
11,KARNATAKA,2020,1,4,DakshinaKannada,201,582,575,7,0,0,0,0,0.0008,69.7,30.3,0,0,0,38.78,61.22,48.48,34.34,17.18,0,0,0,0,0,0,0,0
12,KARNATAKA,2020,1,4,Davangere,355,"16,985","10,800","6,185",0.01,0.0019,0.0018,0.0018,0.0856,77.78,22.22,0,4.08,4.08,10.2,81.64,19.19,53.54,27.27,0,0,0,0,0,0,0,0
13,KARNATAKA,2020,1,4,Dharwad,321,"1,04,849","15,003","89,846",0.11,0.0166,0.0654,0.0566,0.5239,85.86,14.14,0,1.01,1.01,20.2,77.78,11.22,40.82,47.96,0,0,0,0,0,0,0,0
14,KARNATAKA,2020,1,4,Gadag,394,"1,30,927","3,733","1,27,194",0.16,0.017,0.0767,0.0716,0.6393,82.83,17.17,0,3.03,2.02,23.23,71.72,14.29,43.88,41.83,0,0,0,0,0,0,0,0
15,KARNATAKA,2020,1,4,Hasan,611,"37,213","2,184","35,029",0.02,0.0016,0.0096,0.0075,0.0728,78.79,21.21,0,4.08,1.02,20.41,74.49,29.59,60.2,10.21,0,0,0,0,0,0,0,0
16,KARNATAKA,2020,1,4,Haveri,498,"1,33,448","22,251","1,11,197",0.11,0.0139,0.0657,0.0587,0.6141,87.88,12.12,0,3.03,3.03,20.2,73.74,16.16,56.57,27.27,0,0,0,0,0,0,0,0
17,KARNATAKA,2020,1,4,Kalaburgi,600,"36,226","22,981","13,245",0.05,0.0042,0.0148,0.0148,0.201,76.77,23.23,0,6.19,0,26.8,67.01,19.19,48.48,32.33,0,0,0,0,0,0,0,0
18,KARNATAKA,2020,1,4,Kodagu,108,759,701,58,0,0,0.0003,0.0003,0.0024,83.84,16.16,0,2.04,0,5.1,92.86,19.19,68.69,12.12,0,0,0,0,0,0,0,0
19,KARNATAKA,2020,1,4,Kolar,300,"4,036",800,"3,236",0,0.0002,0.0006,0.0006,0.009,84.85,15.15,0,5.05,2.02,19.19,73.74,32.65,34.69,32.66,0,0,0,0,0,0,0,0
20,KARNATAKA,2020,1,4,Koppal,525,"94,639","11,156","83,483",0.1,0.0094,0.0475,0.0475,0.4259,77.78,22.22,0,4.08,4.08,30.61,61.23,11.11,51.52,37.37,0,0,0,0,0,0,0,0
21,KARNATAKA,2020,1,4,Mandya,531,"4,324",118,"4,206",0,0.0001,0.0009,0.0005,0.005,73.74,26.26,0,3.03,0,41.41,55.56,29.59,59.18,11.23,0,0,0,0,0,0,0,0
22,KARNATAKA,2020,1,4,Mysuru,637,"3,099",654,"2,445",0,0.0002,0.001,0.001,0.0071,79.8,20.2,0,6.19,3.09,22.68,68.04,16.33,63.27,20.4,0,0,0,0,0,0,0,0
23,KARNATAKA,2020,1,4,Raichur,559,"58,774","17,136","41,638",0.07,0.0098,0.03,0.0291,0.4248,74.75,25.25,0,7.14,8.16,44.9,39.8,14.29,59.18,26.53,0,0,0,0,0,0,0,0
24,KARNATAKA,2020,1,4,Ramanagara,280,717,90,627,0,0,0,0,0.0011,80.81,19.19,0,4.08,0,40.82,55.1,27.55,63.27,9.18,0,0,0,0,0,0,0,0
25,KARNATAKA,2020,1,4,Shivamogga,640,"20,253","10,784","9,469",0.01,0.0017,0.0046,0.0046,0.0871,79.8,20.2,0,7.14,1.02,14.29,77.55,25.25,56.57,18.18,0,0,0,0,0,0,0,0
26,KARNATAKA,2020,1,4,Tumakuru,895,"85,922","13,586","72,336",0.07,0.0061,0.0371,0.0361,0.3027,72.73,27.27,0,6.12,4.08,28.57,61.23,21.43,59.18,19.39,0,0,0,0,0,0,0,0
27,KARNATAKA,2020,1,4,Udupi,163,"2,386","2,310",76,0,0,0.0002,0.0002,0.0016,52.53,47.47,0,0,1.01,24.24,74.75,10.2,85.71,4.09,0,0,0,0,0,0,0,0
28,KARNATAKA,2020,1,4,UttarKannada,300,"84,180","83,591",589,0.04,0.0039,0.0141,0.0141,0.1941,82.83,17.17,0,3.03,1.01,10.1,85.86,7.14,80.61,12.25,0,0,0,0,0,0,0,0
29,KARNATAKA,2020,1,4,Vijayapura,662,"82,891","2,210","80,681",0.12,0.0105,0.0724,0.0668,0.5009,82.83,17.17,0,6.12,0,31.63,62.25,12.24,48.98,38.78,0,0,0,0,0,0,0,0
30,KARNATAKA,2020,1,4,YADGIRI,431,"10,917","9,058","1,859",0.01,0.0021,0.0066,0.0062,0.0771,80.81,19.19,0,5.05,3.03,25.25,66.67,18.37,38.78,42.85,0,0,0,0,0,0,0,0
1,KERALA,2020,1,4,Alappuzha,60,"5,022","6,795","1,195",5,80.72,236.62,236.62,"4,016.31",65.13,34.59,0.28,0.65,0.05,23.57,75.73,44.31,53.33,2.36,0,0,0,"1,535",0,0,"1,535","3,129"
2,KERALA,2020,1,4,Ernakulam,19,233,243,3,0.01,0.8189,0,0,19.6,70.73,29.27,0,0,0.41,41.46,58.13,44.72,55.28,0,0,0,0,0,0,0,0,15
3,KERALA,2020,1,4,Idukki,14,124,122,3,0.01,0.8464,0,0,28.21,26.4,73.6,0,0,0,2.4,97.6,0,100,0,0,4,0,0,0,0,4,0
4,KERALA,2020,1,4,Kannur,18,38,32,12,0,0.2665,0.0891,0.0891,5.55,63.64,36.36,0,0,0,40.91,59.09,56.82,38.64,4.54,0,0,0,1,0,0,1,11
5,KERALA,2020,1,4,Kasaragod,10,20,19,1,0,0.0748,0.0078,0.0078,2.02,65,35,0,5,0,50,45,50,45,5,0,0,0,0,0,0,0,7
6,KERALA,2020,1,4,Kollam,45,961,944,53,0.06,4.03,0,0,91.54,47.04,52.96,0,0.2,0,37.21,62.59,34.6,64.89,0.51,0,1,0,1,0,0,2,40
7,KERALA,2020,1,4,Kottayam,45,"1,370",969,"2,123",1.08,17.92,48.31,48.31,882.37,74.77,25.23,0,1.07,0.23,55.98,42.72,24.74,73.12,2.14,0,3,0,39,0,0,42,296
8,KERALA,2020,1,4,Kozhikode,12,15,11,8,0,0.3437,0,0,11.28,84.21,15.79,0,0,0,52.63,47.37,0,84.21,15.79,0,1,0,0,0,0,1,3
9,KERALA,2020,1,4,Malappuram,5,5,2,4,0,0.1104,0.0003,0.0003,2.3,33.33,66.67,0,0,0,66.67,33.33,0,100,0,0,0,0,0,0,0,0,0
10,KERALA,2020,1,4,Palakkad,38,325,334,12,0.08,8.06,0,0,231.25,71.39,28.61,0,0.58,0,60.4,39.02,30.64,68.21,1.15,0,9,0,1,0,0,10,29
11,KERALA,2020,1,4,Pathanamthitta,18,64,103,13,0.04,0.9347,3.15,3.15,40.71,80.17,19.83,0,1.72,0,9.48,88.8,47.41,52.59,0,0,0,0,0,0,0,0,5
12,KERALA,2020,1,4,Thiruvananthapuram,37,440,832,34,0.07,5.82,0,0,193.88,57.51,42.49,0,34.99,0,37.07,27.94,19.05,80.37,0.58,0,0,0,8,0,0,8,154
13,KERALA,2020,1,4,Thrissur,20,45,40,13,0.01,0.5862,0,0,14.46,64.15,35.85,0,1.89,0,47.17,50.94,49.06,47.17,3.77,0,1,0,1,0,0,2,15
14,KERALA,2020,1,4,Wayanad,8,29,28,1,0,0.4122,0,0,11.15,75.86,24.14,0,0,0,27.59,72.41,86.21,6.9,6.89,0,1,0,0,0,0,1,3
1,MADHYA PRADESH,2020,1,4,Agar Malwa,239,"66,736","78,167","12,052",178.09,"1,709.66","3,846.76","3,846.76","85,483.03",87.13,12.78,0.09,6.82,1.25,67.64,24.29,16,52.16,31.84,0,0,0,"17,101",0,0,"17,101","66,305"
2,MADHYA PRADESH,2020,1,4,Alirajpur,218,"17,735","45,623","1,678",18.76,119.97,272.34,272.34,"5,163.25",93.5,6.5,0,0.31,97.84,0.77,1.08,2.35,94.93,2.72,0,0,0,933,0,0,933,"17,604"
3,MADHYA PRADESH,2020,1,4,Anuppur,267,"6,616","7,467",20,14.03,62.82,329.6,329.6,"3,140.77",87.54,12.42,0.04,6.36,32.18,43.28,18.18,30.13,53.15,16.72,0,0,0,792,0,0,792,"5,778"
4,MADHYA PRADESH,2020,1,4,Ashoknagar,320,"27,739","65,313","1,038",100.57,659.99,"1,328.15","1,328.15","32,999.27",94.73,5.19,0.08,7.63,1.37,55.94,35.06,14.5,30.42,55.08,0,0,0,"7,092",0,0,"7,092","27,851"
